id,Label,elevation,slope,aspect,ndvi_before,nbr_before,ndmi_before,evi_before,land_cover,temperature,wind_speed,precipitation,soil_moisture,distance_to_water,distance_to_builtup,distance_to_cropland,ndvi_after,nbr_after,dnbr,longitude,latitude
1_831_0,1,163.0,22.0,210.0,0.5882845,0.28364667,0.07914486,0.3281673,10.0,25.08992,10.539397,0.28510547,0.11074003,1413.8246,576.2812,1761.8456,0.5058823,0.22683704,0.056809638,26.67754923246389,37.78260104016704
1_83_0,1,217.0,17.0,99.0,0.3043984,0.1310484,-0.02561874,0.24970596,30.0,25.80458,9.37214,0.0,0.09962424,4611.518,3512.9475,1626.9296,0.26401466,0.079759404,0.051288996,26.510193095032434,38.3453057341395
1_840_0,1,623.0,15.0,185.0,0.30735436,-0.0033493435,-0.1374921,0.15144956,10.0,27.786087,3.879584,1.3217146,0.110621214,3941.4338,201.24612,560.4462,0.25226203,-0.06054848,0.05719914,27.157249594183725,38.5406893084355
1_841_0,1,195.0,33.0,232.0,0.5055439,0.29118478,0.10369068,0.31693843,10.0,29.56344,3.107722,1.506164,0.11234418,9247.887,882.83636,1159.1808,0.38292158,0.20963007,0.08155472,27.477139666858676,37.90387360352317
1_842_0,1,192.0,52.0,130.0,0.77113134,0.54737556,0.30961537,0.5414536,10.0,29.259516,4.561995,1.5618181,0.09632087,150.0,2015.5892,3841.0544,0.7288444,0.4731945,0.07418107,27.066968908129695,38.118930282541385
1_854_0,1,148.0,13.0,254.0,0.8214167,0.5879965,0.32214844,0.4698676,10.0,28.963984,6.241103,1.2925811,0.08765777,4357.855,1034.4564,1127.6968,0.4222973,0.20221312,0.38578337,26.94300139892121,38.14830519233209
1_858_0,1,253.0,19.0,177.0,0.49278235,0.22139882,0.058611,0.31205192,20.0,29.805984,3.8222334,1.8822312,0.1036934,3281.5393,900.4999,240.0,0.38515806,0.13317657,0.08822224,27.293344359727826,37.8680308236868
1_860_0,1,99.0,7.0,160.0,0.43089062,0.3444915,0.12179599,0.26181668,40.0,29.29162,3.7120216,1.4570209,0.12569118,10452.622,150.0,0.0,0.15119775,0.023824107,0.32066742,27.256154106965283,38.228345084147136
1_861_0,1,388.0,3.0,69.0,0.6552786,0.4891044,0.23583522,0.41861212,10.0,25.152441,9.096121,0.0,0.09858028,4404.691,1758.0103,228.47319,0.41184142,0.2932744,0.19583,26.52447630804994,38.47493262963795
1_862_0,1,274.0,21.0,33.0,0.7368629,0.51117224,0.26176807,0.36920455,10.0,28.854181,3.8694365,1.7346975,0.12256789,4455.884,258.06976,600.7495,0.7311806,0.4761659,0.035006337,27.111705009278865,38.31404436225215
1_86_0,1,642.0,24.0,155.0,0.73573107,0.53824836,0.2891986,0.43787807,10.0,27.002405,3.4355767,1.6874685,0.1134394,9955.526,351.141,2258.5837,0.6774496,0.47081393,0.067434415,27.483068547733865,38.299222160064176
1_870_0,1,241.0,2.0,32.0,0.6932271,0.44628102,0.22026253,0.45056045,20.0,28.623755,3.6677933,1.5341239,0.1269807,10422.96,256.3201,189.73666,0.59811,0.30770978,0.13857122,27.286876489682157,38.26445735856875
1_873_0,1,8.0,1.0,0.0,0.71889544,0.4330057,0.21611239,0.43375707,10.0,29.560339,3.5409033,1.2638503,0.091914095,1213.4249,60.0,60.0,0.670713,0.3971995,0.03580619,27.447495262482732,38.01786981307794
1_875_0,1,1327.0,32.0,2.0,0.40224224,0.14196852,-0.024260597,0.30153865,10.0,26.578323,3.5659773,4.314988,0.11990992,15627.696,2455.789,1065.3169,0.314113,0.08838819,0.053580325,27.371228294860998,38.40082161869809
1_877_0,1,449.0,21.0,177.0,0.7657871,0.57774836,0.35394406,0.4787589,10.0,29.805984,3.8222334,1.7042515,0.1036934,7154.1665,540.0,646.2198,0.76340926,0.5308075,0.04694083,27.337002482536036,37.89390230386944
1_878_0,1,355.0,20.0,183.0,0.76949906,0.52070844,0.27624056,0.45001945,10.0,27.594223,5.692454,1.2064272,0.0752236,4126.1724,713.09186,1845.6707,0.73910224,0.4407303,0.07997814,26.891258438555923,38.273620174466764
1_879_0,1,441.0,31.0,41.0,0.69409126,0.46649402,0.23466884,0.362316,10.0,28.854181,3.8694365,1.6643518,0.12256789,5761.9526,523.9275,1584.3295,0.6640285,0.40377232,0.06272167,27.09849977460229,38.313235878496435
1_881_0,1,1354.0,16.0,123.0,0.6305985,0.40027228,0.19801977,0.3236898,10.0,26.578323,3.5659773,1.866452,0.11990992,15417.84,2805.2808,900.0,0.6308456,0.40595686,-0.0056845965,27.371228294860998,38.395701221578605
1_889_0,1,53.0,10.0,286.0,0.6576576,0.42667258,0.17948715,0.44158313,30.0,29.962683,3.3138762,1.692344,0.09504954,7207.3086,674.16614,268.32816,0.37166086,0.13787454,0.28879803,27.4960042878252,38.0927893077735
1_897_0,1,438.0,14.0,263.0,0.63336504,0.38255033,0.14165373,0.36918584,20.0,27.594223,5.692454,1.2188132,0.0752236,5704.8926,726.2231,1043.5516,0.50126195,0.2306207,0.15192963,26.90608064074391,38.2881728820695
1_898_0,1,209.0,14.0,83.0,0.73350924,0.48390743,0.21751218,0.41463143,10.0,25.60224,9.884448,0.0,0.13635714,1826.3077,2166.0332,5196.499,0.7074293,0.40720674,0.07670069,26.543071434431198,38.15153912735492
1_89_0,1,2.0,2.0,52.0,0.37096187,0.12370107,-0.047110647,0.23358822,30.0,29.026373,4.6508985,1.2938937,0.06946937,1546.3829,420.0,67.08204,0.1834825,-0.056132413,0.17983349,27.00363768059927,38.490563315581625
1_900_0,1,41.0,3.0,111.0,0.652408,0.45751977,0.275456,0.5081705,40.0,27.582819,6.863036,1.3750331,0.07605974,3435.8843,882.3265,0.0,0.19328603,0.07573514,0.38178465,26.845983348236302,38.34045483160526
1_902_0,1,344.0,16.0,8.0,0.6759231,0.4819212,0.2273997,0.40219346,10.0,28.854181,3.8694365,1.6643518,0.12256789,4578.3184,692.60376,1920.9373,0.6425971,0.4209974,0.060923807,27.08367757241433,38.34180230453144
1_903_0,1,93.0,8.0,144.0,0.5649054,0.27133012,0.06551187,0.32113323,30.0,26.175238,8.418378,0.0,0.06925257,900.4999,579.39624,918.31366,0.13200904,-0.37114123,0.6424714,26.636855550093287,38.36120591466842
1_905_0,1,153.0,3.0,111.0,0.80445725,0.5224424,0.27778724,0.3428239,10.0,29.172134,3.6978068,1.5324684,0.12478447,7974.8105,400.2499,120.0,0.8075271,0.46130285,0.061139528,27.245643818141076,38.25421656432978
1_908_0,1,41.0,3.0,232.0,0.59453356,0.3823558,0.16417912,0.42860866,30.0,28.033585,6.629438,1.1209449,0.12310767,1360.2941,67.08204,30.0,0.27196497,0.118649624,0.2637062,26.827927211025496,38.241011329653226
1_909_0,1,369.0,19.0,242.0,0.61097,0.41103202,0.20608366,0.41509956,20.0,28.290949,4.9143434,1.2050593,0.092519365,5648.451,134.16408,1666.2833,0.5121433,0.28862247,0.12240954,26.972106814126676,38.20462956064638
1_910_0,1,156.0,4.0,62.0,0.45620054,0.22481139,0.018453626,0.29728338,30.0,25.80458,9.37214,0.0,0.09962424,6534.9062,323.1099,469.57428,0.19973783,-0.18896765,0.41377905,26.4821656581679,38.29814418172323
1_911_0,1,188.0,3.0,69.0,0.34578148,0.18948656,0.09080718,0.22314124,10.0,27.712631,3.6073084,1.6271383,0.122485556,13174.236,241.86774,123.69317,0.25635684,0.13961624,0.04987034,27.389014937486564,38.29302378460375
1_912_0,1,58.0,1.0,0.0,0.772363,0.4999542,0.28390995,0.5933642,40.0,29.29162,3.7120216,1.4155273,0.12569118,16260.249,276.58633,0.0,0.7632653,0.46619096,0.03376323,27.327570172052788,38.2092109685954
1_916_0,1,238.0,18.0,166.0,0.5016458,0.31091952,0.14796174,0.28829783,10.0,29.56344,3.107722,1.506164,0.11234418,9412.019,1021.7632,1410.3191,0.46582422,0.30737707,0.003542465,27.474444721006307,37.90468208727888
